GEOGRAPHY,YEAR,VIOLATIONS,INCIDENTS,RATES
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,Total breaking and entering,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 0:00,Total sexual violations against children,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2017 0:00,"Possession, cannabis",606,140.37
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 0:00,Attempted murder,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2010 0:00,"Sexual assault, level 3, aggravated",4,1
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 0:00,Total breaking and entering,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,Homicide,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Assault, level 1",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2010 0:00,Total robbery,381,95.67
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 0:00,Total impaired driving,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,Total breaking and entering,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Assault, level 1",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,"Assault, level 3, aggravated",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,Homicide,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,Total theft of motor vehicle,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2010 0:00,Total theft of motor vehicle,619,155.43
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 0:00,Total theft of motor vehicle,548,134.71
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2013 0:00,Total theft of motor vehicle,495,120.7
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Assault, level 1",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2013 0:00,"Total cocaine, trafficking, production or distribution",108,26.34
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,"Sexual assault, level 1",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2010 0:00,"Total cannabis, trafficking, production or distribution",224,56.25
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",4,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",39,9.18
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,Total Drug violations,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,Total robbery,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2017 0:00,"Possession, cocaine",125,28.95
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 0:00,"Possession, cannabis",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2015 0:00,"Sexual assault, level 1",340,81.56
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Assault, level 1",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,Attempted murder,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,Total theft of motor vehicle,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,Total theft of motor vehicle,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,Total breaking and entering,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,Total breaking and entering,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 0:00,Total breaking and entering,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2013 0:00,Total impaired driving,942,229.71
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 0:00,"Sexual assault, level 1",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Sexual assault, level 1",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Sexual assault, level 1",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2014 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",30,7.25
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,Total Drug violations,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,"Possession, cocaine",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 0:00,"Possession, cannabis",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 0:00,"Assault, level 1",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 0:00,"Total cocaine, trafficking, production or distribution",1,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,"Sexual assault, level 1",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,Total impaired driving,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,"Assault, level 3, aggravated",43,10.68
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,"Assault, level 3, aggravated",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,Total theft of motor vehicle,634,157.54
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Assault, level 1",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,Total impaired driving,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 0:00,Total impaired driving,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Sexual assault, level 3, aggravated",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",90,22.12
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 0:00,Total sexual violations against children,60,14.12
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 0:00,Total Drug violations,1060,249.43
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,Total impaired driving,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2017 0:00,"Sexual assault, level 2, weapon or bodily harm",6,1.39
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2014 0:00,"Possession, cannabis",824,199.23
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 0:00,"Total cannabis, trafficking, production or distribution",165,40.56
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 0:00,Total impaired driving,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 0:00,"Assault, level 1",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 0:00,"Assault, level 1",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,Total breaking and entering,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,"Possession, cannabis",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2015 0:00,Total Drug violations,1079,258.84
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,Attempted murder,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,Total theft of motor vehicle,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2013 0:00,Total sexual violations against children,35,8.53
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 0:00,Attempted murder,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Sexual assault, level 1",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,Attempted murder,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,Total sexual violations against children,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2010 0:00,"Assault, level 2, weapon or bodily harm",628,157.69
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2015 0:00,"Total cannabis, trafficking, production or distribution",116,27.83
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,Total theft of motor vehicle,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,Attempted murder,0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,Total impaired driving,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,Attempted murder,45,11.18
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,"Sexual assault, level 1",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 0:00,Attempted murder,28,6.88
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 0:00,"Assault, level 2, weapon or bodily harm",407,95.77
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 0:00,"Assault, level 3, aggravated",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Assault, level 3, aggravated",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 0:00,Total impaired driving,1095,269.18
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2015 0:00,Total theft of motor vehicle,393,94.28
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,Homicide,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 0:00,"Assault, level 3, aggravated",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Assault, level 1",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 0:00,Homicide,12,2.82
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,Total theft of motor vehicle,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Sexual assault, level 1",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 0:00,Total Drug violations,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2014 0:00,"Possession, cocaine",87,21.03
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 0:00,Total impaired driving,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2010 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",96,24.11
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 0:00,Total robbery,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,"Total cannabis, trafficking, production or distribution",183,45.47
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2017 0:00,"Assault, level 2, weapon or bodily harm",482,111.65
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2013 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",34,8.29
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,Homicide,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 0:00,"Sexual assault, level 2, weapon or bodily harm",5,1.23
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 0:00,Total impaired driving,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,Total Drug violations,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 0:00,Homicide,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2017 0:00,"Assault, level 3, aggravated",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 0:00,"Sexual assault, level 2, weapon or bodily harm",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 0:00,Total robbery,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 0:00,"Sexual assault, level 1",0,0
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Assault, level 2, weapon or bodily harm",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 0:00,"Total, possession, other Controlled Drugs and Substances Act drugs",102,25.35
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,Total robbery,0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 0:00,"Total cocaine, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 0:00,Total Drug violations,1,0
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 0:00,Total theft of motor vehicle,0,0
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,"Total cannabis, trafficking, production or distribution",0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2017 0:00,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",42,9.73
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2012 0:00,"Assault, level 1",1876,461.17
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 0:00,Homicide,0,0
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2015 0:00,Total robbery,247,59.25
